Organ name,Source,File name,Transformed file name
whole-body,https://doi.org/10.26275/yibc-wyu2,whole_body.exf,whole_body.exf
brainstem,https://doi.org/10.26275/dqpf-gqdt,ratBrainstemMesh.exf,ratBrainstemMesh.exf_transfromed_fit1.exf
heart,https://doi.org/10.26275/rets-qdch,ratHeartMesh.exf,ratHeartMesh.exf_transfromed_fit1.exf
lung,https://doi.org/10.26275/dqpf-gqdt,ratLungsMesh.exf,ratLungsMesh.exf_transfromed_fit1.exf
stomach,https://doi.org/10.26275/yum2-z4uf,ratStomach.exf,ratStomach.exf_transfromed_fit1.exf
whole-colon,https://doi.org/10.26275/xq3h-ba2b,whole-colon.exf,whole-colon.exf_transfromed_fit1.exf
bladder,colon,whole-bladder.exf,whole-bladder.exf_transfromed_fit1.exf
