x,Curve1
0.03438,5.905
0.14273,5.5761
0.2561,5.3487
0.37963,5.2229
0.50306,5.1986
0.63159,5.1998
0.75496,5.2263
0.88341,5.3036
1.00677,5.3301
1.13011,5.382
1.25862,5.4085
1.38712,5.4351
1.51049,5.4616
1.63903,5.4627
1.76756,5.4639
1.89098,5.4396
2.01958,5.39
2.14303,5.3404
2.27165,5.2654
2.39516,5.165
2.51873,5.0139
2.63712,4.8881
2.76072,4.7115
2.8792,4.5096
2.99768,4.3076
3.10594,4.0548
3.22448,3.8021
3.34304,3.524
3.45647,3.2459
3.56993,2.9424
3.67818,2.6896
3.79164,2.3861
3.89478,2.1079
4.00309,1.8043
4.11138,1.5261
4.21969,1.2226
4.33309,0.9698
4.55814,0.4066
4.86339,-0.2941
5.0908,-0.7237
5.20928,-0.9256
5.3329,-1.1275
5.45136,-1.3041
5.57498,-1.506
5.69849,-1.6064
5.81689,-1.7322
5.94551,-1.8072
6.06902,-1.9076
6.19761,-1.9572
6.32106,-2.0068
6.44965,-2.0564
6.57311,-2.1061
6.69653,-2.1303
6.82509,-2.1545
6.94852,-2.1788
7.07705,-2.1776
7.20559,-2.1765
7.28825,-2.1906
