x,Curve1
0.061,0.58609
0.302,0.56783
0.5282,0.54339
0.7013,0.51481
0.8078,0.48207
0.901,0.44931
0.9809,0.41654
1.0608,0.38378
1.154,0.35102
1.2472,0.31827
1.3537,0.28553
1.4926,0.25206
1.5933,0.22827
1.7398,0.19829
1.8995,0.16833
2.0858,0.13975
2.2988,0.11394
2.5516,0.09225
2.8444,0.08018
3.0138,0.07742
3.1637,0.08044
3.4564,0.09436
3.7225,0.11647
3.9487,0.13991
4.1881,0.16336
4.4143,0.1868
4.6538,0.20888
4.7899,0.22111
4.9198,0.23099
5.1726,0.25395
5.4254,0.2733
5.6914,0.29404
5.9575,0.31478
6.2236,0.33415
6.503,0.35353
6.7824,0.37154
7.0618,0.38955
7.3412,0.4062
7.6339,0.42148
7.9266,0.43814
8.2326,0.45344
8.5386,0.46737
8.8313,0.48078
9.1373,0.49198
9.4566,0.50455
9.7626,0.51438
10.0687,0.52557
10.388,0.53541
10.694,0.54386
11.0133,0.55233
11.3326,0.55944
11.652,0.56654
11.9713,0.57278
12.2906,0.57851
12.5831,0.58612
12.7785,0.58961
13.2087,0.5938
13.5281,0.59731
13.8607,0.59895
14.18,0.60108
14.4994,0.60271
14.8187,0.60404
15.1461,0.60485
15.4574,0.60541
15.7501,0.60699
16.0642,0.60697
16.3622,0.60778
16.6815,0.60886
16.9743,0.60797
17.3069,0.60959
