x,Curve1
0.1956,-29.013
0.3994,-26.502
0.6247,-24.096
0.8504,-21.846
1.0971,-19.542
1.3438,-17.239
1.6331,-15.039
1.9224,-12.838
2.2332,-10.741
2.5654,-8.748
2.8976,-6.754
3.2509,-4.76
3.626,-2.964
4.0014,-1.282
4.5437,1.137
4.8974,3.027
5.0846,4.015
5.3742,6.111
5.5998,8.414
5.8036,10.924
5.9017,13.43
5.9787,15.935
6.0554,18.545
6.0727,21.257
6.0943,23.864
6.1455,26.473
6.166,29.133
6.1749,33.173
6.2058,38.701
6.2182,41.595
6.2254,44.437
6.2395,48.504
6.2432,52.518
6.2617,56.898
6.2635,59.792
6.2764,62.53
6.2908,66.493
6.2955,70.168
6.3089,77.989
6.3168,80.596
6.3237,85.315
6.3517,93.527
6.3566,97.151
6.3664,100.905
6.3919,104.686
6.4061,106.98
6.5157,110.947
6.6914,108.764
6.7838,106.16
6.8551,103.556
6.9476,100.953
7.0185,98.453
7.0687,95.848
7.14,93.244
7.2113,90.64
7.2615,88.035
7.3328,85.431
7.3829,82.826
7.4328,80.325
7.4829,77.72
7.6303,70.948
7.6804,68.343
7.7517,65.739
7.8019,63.134
7.8732,60.53
7.923,58.029
7.989,55.425
8.0445,52.82
8.1158,50.216
8.2631,43.444
8.3344,40.84
8.3846,38.235
8.4559,35.631
8.5163,33.13
8.5717,30.526
8.6272,27.921
8.6528,26.436
8.6668,25.315
8.729,22.216
8.7858,19.168
8.913,12.056
9.0121,5.517
9.0622,2.912
9.0983,-0.267
9.1368,-2.534
9.1931,-5.425
9.2644,-8.029
9.41,-10.709
9.8676,-11.734
10.3741,-11.481
10.9018,-11.201
11.4081,-10.869
11.9142,-10.459
12.4206,-10.127
12.9481,-9.795
13.4538,-9.255
13.9597,-8.767
14.4442,-8.227
14.9496,-7.583
15.4551,-6.965
15.9605,-6.32
16.4659,-5.65
16.9712,-4.979
17.4553,-4.283
17.961,-3.743
18.4667,-3.203
18.9724,-2.663
19.4576,-2.332
19.9425,-1.897
20.4489,-1.565
20.9552,-1.233
