x,Curve1
5.41561e-06,15
0.1772,13.474
0.3901,16.144
0.5767,21.229
0.6923,30.762
0.764,38.771
0.8135,47.161
0.8337,54.534
0.8682,64.321
0.8883,72.457
0.9121,80.465
0.9243,90.762
0.9586,101.058
1.0195,108.05
1.1439,111.482
1.2962,106.143
1.4078,101.439
1.5719,93.431
1.736,85.042
1.8964,76.906
2.0679,68.389
2.2098,60.508
2.3776,52.118
2.5454,43.729
2.6982,36.737
2.8586,28.347
2.9784,20.339
3.1019,12.458
3.2183,3.559
3.3534,-6.61
3.6602,-11.186
4.036,-11.44
4.3269,-11.314
4.6067,-10.932
4.8902,-10.424
5.1812,-10.296
5.4315,-9.915
5.7223,-9.152
6.0316,-8.517
6.3003,-8.008
6.6095,-6.991
6.8965,-6.101
7.1874,-5.72
