x,Curve1
0.03318,6.9709
0.13641,6.6165
0.25492,6.3892
0.37846,6.2634
0.50188,6.2391
0.63033,6.3164
0.75355,6.4698
0.87158,6.6739
0.9896,6.878
1.1128,7.0568
1.22565,7.2862
1.34365,7.5157
1.46158,7.7959
1.57435,8.1015
1.68195,8.4324
1.78438,8.7886
1.88678,9.1702
1.98401,9.5771
2.07092,10.0094
2.15781,10.467
2.23436,10.9752
2.30574,11.5088
2.37198,12.0424
2.42791,12.6012
2.47866,13.1854
2.52428,13.7695
2.56986,14.379
2.60519,14.963
2.63533,15.5977
2.66549,16.2071
2.70079,16.8165
2.72962,17.4258
2.74088,17.8323
