x,Curve1
0.02213,15.211
0.08671,14.018
0.15726,13.702
0.23077,13.531
0.3014,13.948
0.37205,14.657
0.44276,15.806
0.51053,17.103
0.57251,19.134
0.62863,21.459
0.67595,24.081
0.72037,26.997
0.756,30.208
0.78575,33.568
0.81257,36.929
0.83352,40.438
0.85447,43.947
0.87248,47.457
0.88757,51.115
0.90264,54.626
0.91478,58.285
0.92691,61.797
0.93905,65.456
0.9512,69.114
0.96038,72.627
0.97547,76.285
0.9877,80.823
0.99985,84.481
1.01492,87.992
1.024,90.48
1.04201,93.99
1.06003,97.647
1.08391,101.009
1.11659,104.221
1.1785,105.666
1.24602,104.472
1.30464,102.548
1.36619,100.477
1.42479,98.407
1.4834,96.337
1.53903,93.975
1.59173,91.614
1.64145,88.96
1.69413,86.453
1.74385,83.799
1.79358,81.293
1.84331,78.639
1.89304,76.133
1.94278,73.626
1.9925,70.973
2.04222,68.319
2.09194,65.666
2.14462,63.159
2.19731,60.797
2.24705,58.291
2.29973,55.783
2.35242,53.422
2.4051,50.914
2.45779,48.553
2.51047,46.045
2.56315,43.537
2.61583,41.03
2.66852,38.669
2.72121,36.307
2.77389,33.8
2.82658,31.438
2.87926,28.931
2.92061,26.724
2.95243,25.537
3.00511,23.03
3.05779,20.522
3.10751,17.869
3.15428,15.07
3.19808,12.126
3.23895,9.182
3.28275,6.092
3.32896,2.87
3.36604,0.299
3.41249,-2.041
3.42592,-2.892
3.47565,-5.545
3.53425,-7.615
3.59878,-9.248
3.66924,-10.443
3.73978,-10.905
3.81033,-11.221
3.88385,-11.245
3.95736,-11.415
4.03088,-11.439
4.10148,-11.316
4.175,-11.34
4.24852,-11.364
4.31912,-11.24
4.39264,-11.264
4.46324,-11.141
4.53383,-11.017
4.60442,-11.04
4.67795,-10.917
4.75149,-10.795
4.82206,-10.964
4.8956,-10.842
4.96618,-10.865
5.02207,-10.737
5.09559,-10.76
5.16323,-10.782
5.23677,-10.66
5.31031,-10.537
5.3809,-10.414
5.45443,-10.438
5.52501,-10.461
5.59854,-10.338
5.67207,-10.362
5.74266,-10.239
5.81326,-10.115
5.8809,-10.137
6.07209,-9.906
6.13973,-9.928
6.21033,-9.805
