x,Curve1
0.0023,15.052
0.1589,14.54
0.4035,16.422
0.5207,19.709
0.5433,20.708
0.6104,24.132
0.6647,27.696
0.707,31.116
0.7364,34.677
0.7659,38.238
0.7953,41.799
0.8103,46.318
0.8353,51.906
0.8523,55.465
0.8667,60.233
0.874,65.392
0.8803,70.977
0.8849,74.534
0.8895,78.092
0.8941,81.649
0.9006,87.163
0.9056,91.966
0.9199,95.347
0.9275,97.553
0.9578,100.803
1.0552,102.77
1.2264,100.189
1.3209,96.787
1.4034,93.241
1.4855,89.837
1.5676,86.434
1.6376,82.886
1.7197,79.482
1.7894,76.077
1.8594,72.529
1.9291,69.124
2.0115,65.578
2.0812,62.173
2.1633,58.769
2.2333,55.221
2.3154,51.817
2.3976,48.414
2.48,44.868
2.5497,41.462
2.6442,38.06
2.7142,34.513
2.7963,31.109
2.8785,27.705
2.9606,24.301
3.0306,20.754
3.1009,17.064
3.1584,13.514
3.2157,10.107
3.2733,6.558
3.3168,3.718
3.3744,0.169
3.4451,-4.838
3.5474,-8.239
3.7833,-10.447
4.0823,-10.692
4.3929,-10.509
4.7037,-10.468
5.0018,-10.286
5.3002,-10.246
5.5982,-10.064
5.9084,-9.739
6.219,-9.555
6.5167,-9.231
6.8145,-8.907
7.1247,-8.582
7.4225,-8.258
7.7327,-7.932
8.0304,-7.608
8.3406,-7.282
8.6381,-6.816
8.9483,-6.49
9.2457,-6.024
9.9035,-5.403
10.5238,-4.716
10.8213,-4.25
11.1312,-3.782
11.429,-3.458
11.7392,-3.132
12.0369,-2.808
12.3471,-2.483
12.6449,-2.159
12.9554,-1.975
13.2656,-1.649
13.5634,-1.325
13.8611,-1.001
14.1029,-0.649
14.3293,-0.406
14.5899,-0.122
14.8132,0.121
15.0431,0.187
15.2727,0.395
