x,Curve1
0.02412,5.98
0.09764,5.957
0.16819,5.641
0.24171,5.617
0.31228,5.447
0.3858,5.423
0.45637,5.254
0.52989,5.23
0.60049,5.353
0.67402,5.476
0.74756,5.598
0.81816,5.722
0.88875,5.845
0.96228,5.822
1.02767,5.712
1.10042,5.044
1.17394,5.02
1.24747,4.996
1.31806,5.12
1.39159,5.096
1.46218,5.219
1.53278,5.343
1.60333,5.027
1.67687,5.149
1.74449,4.981
1.81507,4.958
1.88566,4.935
1.95625,5.058
2.02386,4.743
2.09449,5.16
2.16801,5.136
2.24153,5.112
2.3121,4.943
2.38561,4.772
2.45913,4.748
2.5297,4.579
2.60322,4.555
2.67673,4.384
2.74731,4.361
2.82081,4.191
2.89137,3.875
2.96196,3.998
3.01487,3.688
3.08252,3.813
3.15309,3.643
3.22366,3.474
3.3736,2.985
3.44416,2.816
3.51471,2.5
3.58824,2.476
3.6588,2.307
3.73231,2.136
3.80286,1.82
3.88435,1.293
3.94971,1.272
4.01742,0.578
4.08799,0.409
4.15857,0.386
4.23208,0.215
4.30264,0.046
4.37323,0.023
4.44379,-0.147
4.51731,-0.17
4.5879,-0.193
4.65846,-0.363
4.73198,-0.387
4.80257,-0.41
4.87313,-0.579
4.94079,-0.455
5.01731,0.106
5.08192,-0.794
5.1525,-0.817
5.22602,-0.841
5.29661,-0.864
5.37013,-0.888
5.44363,-1.058
5.51129,-0.934
5.58481,-0.958
5.65541,-0.834
5.72598,-1.004
5.79657,-0.88
5.87009,-0.904
5.94068,-0.927
