$A_{cap}$,$V_m$,$C_m$,$\bar G^leak$,$q_m$,$q_i^{Na}$,$q_e^{Na}$,$q_i^{K}$,$q_e^{K}$
$cm^2$,$mV$,$fF$,$fS$,$fmol$,$fmol$,$fmol$,$fmol$,$fmol$
0.3,-50,1e+09,9e+10,-5e+07,2.57296e+08,2.93304e+08,2.07556e+09,1.212e+07
