Ion,\#Channels,Channels($fmol$),$\bar G^X(mS)$,$P(pL/s)$,$k^+(s^{-1}fmol^{-1})$,$k^-(s^{-1}fmol^{-1})$
Na,3e+10,49.82,36,32990.1,1.562e-04,1.093e-03
K,9e+09,14.95,10.8,10580.1,1.670e-04,1.168e-03
